Random data: 
Algorithm            Sorted?  Size         Reads        Writes       Seconds     


Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    7,000        0            0            0.000005    
Gnome Sort           true     7,000        195,979,001  48,993,000   0.662448    
Selection Sort       true     7,000        73,510,499   7,000        0.243165    
BubbleSort           true     7,000        146,965,003  48,993,000   1.163237    
InsertionSort        true     7,000        73,496,500   48,999,999   0.388325    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    8,000        0            0            0.000007    
Gnome Sort           true     8,000        255,976,001  63,992,000   0.816808    
Selection Sort       true     8,000        96,011,999   8,000        0.291611    
BubbleSort           true     8,000        191,960,003  63,992,000   0.911064    
InsertionSort        true     8,000        95,996,000   63,999,999   0.323495    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    9,000        0            0            0.000006    
Gnome Sort           true     9,000        323,973,001  80,991,000   1.125945    
Selection Sort       true     9,000        121,513,499  9,000        0.641057    
BubbleSort           true     9,000        242,955,003  80,991,000   1.393656    
InsertionSort        true     9,000        121,495,500  80,999,999   0.406045    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    10,000       0            0            0.000007    
Gnome Sort           true     10,000       363,763,913  90,937,980   1.133974    
Selection Sort       true     10,000       150,024,971  19,972       0.445612    
BubbleSort           true     10,000       290,897,983  90,937,980   1.653189    
InsertionSort        true     10,000       136,417,966  90,947,979   0.622522 
